%Frame Number	Image Center x	Image Center y	World Center x	World Center y	Area	Orientation	Compactness
335	785.995	447.069	0	0	957	0.063561	0.357924
336	782.759	447.27	0	0	1028.5	0.0909418	0.293369
337	776.769	446.833	0	0	1044.5	0.1475	0.29656
338	772.073	446.564	0	0	1055.5	0.188366	0.294064
339	772.162	446.546	0	0	1047.5	0.18949	0.291835
340	769.58	446.173	0	0	1072	0.202583	0.290205
341	763.482	445.369	0	0	1001.5	0.254628	0.344249
342	761.403	445.056	0	0	1003.5	0.260851	0.347946
343	756.206	444.105	0	0	924	0.151028	0.357297
344	739.729	444.883	0	0	1005.5	-0.452969	0.365903
345	739.689	444.941	0	0	1009.5	-0.454485	0.367358
346	727.752	449.666	0	0	1071.5	-0.566014	0.357341
347	718.554	454.032	0	0	1088	-0.59541	0.358871
348	714.382	455.863	0	0	1117	-0.597147	0.353784
349	706.754	459.756	0	0	1105	-0.601074	0.361404
350	700.909	462.565	0	0	1106.5	-0.597743	0.362792
351	700.932	462.598	0	0	1107.5	-0.596876	0.367507
352	696.089	464.976	0	0	1122	-0.599088	0.349527
353	692.02	466.755	0	0	1106.5	-0.596575	0.371637
354	688.842	468.116	0	0	1105.5	-0.585451	0.369987
355	686.331	469.186	0	0	1115	-0.575024	0.363401
356	685.308	469.323	0	0	1107.5	-0.5653	0.358812
357	685.305	469.339	0	0	1108.5	-0.565004	0.3549
358	683.734	469.831	0	0	1109.5	-0.554194	0.362504
359	682.744	470.211	0	0	1111.5	-0.554717	0.363157
360	682.417	470.455	0	0	1108.5	-0.550424	0.359136
361	682.982	470.353	0	0	1103.5	-0.549249	0.360543
362	683.026	470.39	0	0	1097	-0.551012	0.356287
363	683.018	470.367	0	0	1099	-0.550997	0.356937
364	683.121	470.295	0	0	1096	-0.551548	0.355963
365	682.789	470.386	0	0	1086	-0.556152	0.36
366	682.716	470.329	0	0	1089	-0.556992	0.356688
367	682.877	470.137	0	0	1101.5	-0.555074	0.36423
368	683.068	469.837	0	0	1099	-0.551186	0.359963
369	683.068	469.837	0	0	1099	-0.551186	0.359963
370	682.844	469.751	0	0	1099	-0.558074	0.364309
371	682.84	469.741	0	0	1098.5	-0.557846	0.361962
372	682.754	469.815	0	0	1105	-0.556121	0.366298
373	682.752	469.809	0	0	1098.5	-0.556669	0.361962
374	682.76	469.784	0	0	1100.5	-0.557202	0.362621
375	682.769	469.761	0	0	1098.5	-0.556895	0.361962
376	682.479	470.016	0	0	1091.5	-0.554318	0.370307
377	682.512	470.063	0	0	1096	-0.555776	0.37872
378	682.396	470.346	0	0	1087.5	-0.554997	0.370269
379	682.77	470.272	0	0	1090.5	-0.556937	0.363677
380	682.709	470.348	0	0	1093.5	-0.555523	0.364678
381	682.709	470.348	0	0	1093.5	-0.555523	0.364678
382	682.901	470.307	0	0	1090	-0.557018	0.361326
383	683.054	470.239	0	0	1085.5	-0.556882	0.357678
384	682.996	470.242	0	0	1080.5	-0.554851	0.356031
385	683.023	470.243	0	0	1079.5	-0.55533	0.355701
386	682.972	470.273	0	0	1082	-0.555065	0.354395
387	683.011	470.259	0	0	1081.5	-0.555329	0.35636
388	682.487	470.386	0	0	1074.5	-0.557478	0.365843
389	682.388	470.297	0	0	1073	-0.561663	0.363114
390	682.337	470.237	0	0	1082	-0.558367	0.370654
391	682.586	470.081	0	0	1085	-0.557092	0.364038
392	682.269	470.137	0	0	1083.5	-0.556088	0.364448
393	682.443	469.988	0	0	1076.5	-0.55359	0.365218
394	682.433	469.976	0	0	1071	-0.557569	0.365575
395	682.579	469.977	0	0	1074	-0.55285	0.366599
396	682.37	470.069	0	0	1068.5	-0.558238	0.366959
397	682.512	470.123	0	0	1061.5	-0.550876	0.364555
398	682.931	469.979	0	0	1073.5	-0.550206	0.361084
399	682.924	469.976	0	0	1074.5	-0.550146	0.361421
400	682.734	470.161	0	0	1085.5	-0.553026	0.36201
401	682.743	470.169	0	0	1082	-0.553242	0.358674
402	682.794	470.271	0	0	1083.5	-0.55223	0.361343
403	682.821	470.318	0	0	1082.5	-0.551317	0.361009
404	682.817	470.377	0	0	1082.5	-0.553432	0.35669
405	682.912	470.352	0	0	1081	-0.553546	0.358343
406	682.759	470.381	0	0	1078	-0.554281	0.357348
407	682.544	470.437	0	0	1079	-0.556421	0.360744
408	682.682	470.324	0	0	1088.5	-0.556388	0.36301
409	682.433	470.335	0	0	1079.5	-0.558047	0.367546
410	682.829	470.051	0	0	1092	-0.556548	0.363269
411	682.845	470.034	0	0	1093	-0.556818	0.363601
412	682.823	469.988	0	0	1096	-0.553917	0.360242
413	682.526	469.969	0	0	1091	-0.55746	0.358599
414	682.684	469.932	0	0	1097.5	-0.553641	0.358583
415	682.588	469.942	0	0	1072.5	-0.552939	0.363861
416	682.556	469.976	0	0	1074.5	-0.554646	0.36902
417	682.571	469.959	0	0	1072	-0.553748	0.370427
418	682.833	469.886	0	0	1072.5	-0.552867	0.360748
419	682.837	470.046	0	0	1084	-0.552867	0.363702
420	682.864	470.091	0	0	1092.5	-0.552131	0.364344
421	682.754	470.205	0	0	1082.5	-0.550648	0.361009
422	682.738	470.273	0	0	1084	-0.552569	0.359337
423	682.688	470.326	0	0	1084.5	-0.552869	0.357349
424	682.659	470.453	0	0	1088	-0.552439	0.365044
425	682.657	470.445	0	0	1089	-0.552192	0.36538
426	682.655	470.417	0	0	1089	-0.552051	0.36538
427	682.715	470.405	0	0	1093	-0.551373	0.366722
428	682.644	470.426	0	0	1083.5	-0.553163	0.361343
429	682.539	470.443	0	0	1084	-0.552427	0.363702
430	682.59	470.291	0	0	1093	-0.554657	0.366722
431	682.607	470.233	0	0	1088	-0.553293	0.365044
